time
7.1
8.3
9.4
11
7.2
8.4
9.6
11.1
7.2
8.4
9.9
11.2
7.6
8.9
10.1
11.2
7.6
9
10.1
11.2
7.9
9
10.1
12
8.1
9.1
10.2
13.6
8.1
9.1
10.3
14.7
8.1
9.1
10.5
14.9
8.3
9.1
10.7
15.5
